year,num,name,page_url,plain_url,pdf_url,legislation_type,act_type,page_url_available,plain_url_available,pdf_url_available
1900,cclxix,London County Council (Improvements) Act 1900,https://www.legislation.gov.uk/ukla/1900/269/contents/enacted,https://www.legislation.gov.uk/ukla/1900/269/contents?view=plain,https://www.legislation.gov.uk/ukla/1900/269/pdfs/ukla_19000269_en.pdf,UK Local Acts,Local,True,True,True
1900,ccxii,East London Waterworks Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/212/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/212/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/212/pdfs/ukla_19000212_en.pdf,UK Local Acts,Local,True,True,True
1900,ccx,Costa Rica Railway Company Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/210/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/210/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/210/pdfs/ukla_19000210_en.pdf,UK Local Acts,Local,True,True,True
1900,ccix,North British Railway (General Powers) Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/209/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/209/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/209/pdfs/ukla_19000209_en.pdf,UK Local Acts,Local,True,True,True
1900,ccviii,Tramways Orders Confirmation (No. 5) Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/208/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/208/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/208/pdfs/ukla_19000208_en.pdf,UK Local Acts,Local,True,True,True
1900,ccvii,Electric Lighting Orders Confirmation (No. 10) Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/207/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/207/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/207/pdfs/ukla_19000207_en.pdf,UK Local Acts,Local,True,True,True
1900,ccvi,Post Office (Sites) Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/206/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/206/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/206/pdfs/ukla_19000206_en.pdf,UK Local Acts,Local,True,True,True
1900,ccv,Local Government Board (Ireland) Provisional Orders Confirmation (No. 4) Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/205/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/205/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/205/pdfs/ukla_19000205_en.pdf,UK Local Acts,Local,True,True,True
1900,cciv,Edinburgh Improvement Scheme Provisional Orders Confirmation Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/204/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/204/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/204/pdfs/ukla_19000204_en.pdf,UK Local Acts,Local,True,True,True
1900,cciii,Paisley Waterworks Provisional Order Confirmation Act 1900,https://www.legislation.gov.uk/ukla/Vict/63-64/203/contents/enacted,https://www.legislation.gov.uk/ukla/Vict/63-64/203/contents?view=plain,https://www.legislation.gov.uk/ukla/Vict/63-64/203/pdfs/ukla_19000203_en.pdf,UK Local Acts,Local,True,True,True
