year,num,name,page_url,plain_url,pdf_url,legislation_type,act_type,page_url_available,plain_url_available,pdf_url_available
1941,50,Agriculture (Miscellaneous Provisions) Act 1941 (repealed 5.11.1993),https://www.legislation.gov.uk/ukpga/Geo6/4-5/50/contents,https://www.legislation.gov.uk/ukpga/Geo6/4-5/50/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/50/pdfs/ukpga_19410050_en.pdf,UK Public General Acts,General,True,True,True
1941,49,Local Elections and Register of Electors (Temporary Provisions) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/49/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/49/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/49/pdfs/ukpga_19410049_en.pdf,UK Public General Acts,General,True,True,True
1941,48,Prolongation of Parliament Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/48/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/48/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/48/pdfs/ukpga_19410048_en.pdf,UK Public General Acts,General,True,True,True
1941,47,Marriage (Members of His Majesty's Forces) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/47/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/47/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/47/pdfs/ukpga_19410047_en.pdf,UK Public General Acts,General,True,True,True
1941,46,Solicitors Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/46/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/46/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/46/pdfs/ukpga_19410046_en.pdf,UK Public General Acts,General,True,True,True
1941,45,Local Government (Financial Provisions) (Scotland) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/45/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/45/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/45/pdfs/ukpga_19410045_en.pdf,UK Public General Acts,General,True,True,True
1941,44,India and Burma (Postponement of Elections) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/44/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/44/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/44/pdfs/ukpga_19410044_en.pdf,UK Public General Acts,General,True,True,True
1941,43,Appropriation (No. 2) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/43/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/43/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/43/pdfs/ukpga_19410043_en.pdf,UK Public General Acts,General,True,True,True
1941,42,Pharmacy and Medicines Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/42/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/42/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/42/pdfs/ukpga_19410042_en.pdf,UK Public General Acts,General,True,True,True
1941,41,Landlord and Tenant (War Damage) (Amendment) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/41/contents,https://www.legislation.gov.uk/ukpga/Geo6/4-5/41/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/41/pdfs/ukpga_19410041_en.pdf,UK Public General Acts,General,True,True,True
1941,40,War Damage to Land (Scotland) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/40/contents,https://www.legislation.gov.uk/ukpga/Geo6/4-5/40/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/40/pdfs/ukpga_19410040_en.pdf,UK Public General Acts,General,True,True,True
1941,39,"National Health Insurance, Contributory Pensions and Workmen's Compensation Act 1941",https://www.legislation.gov.uk/ukpga/Geo6/4-5/39/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/39/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/39/pdfs/ukpga_19410039_en.pdf,UK Public General Acts,General,True,True,True
1941,38,Appropriation Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/38/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/38/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/38/pdfs/ukpga_19410038_en.pdf,UK Public General Acts,General,True,True,True
1941,37,War Damage (Extension of Risk Period) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/37/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/37/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/37/pdfs/ukpga_19410037_en.pdf,UK Public General Acts,General,True,True,True
1941,36,Financial Powers (USA Securities) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/36/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/36/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/36/pdfs/ukpga_19410036_en.pdf,UK Public General Acts,General,True,True,True
1941,35,Colonial War Risks Insurance (Guarantees) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/35/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/35/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/35/pdfs/ukpga_19410035_en.pdf,UK Public General Acts,General,True,True,True
1941,34,Repair of War Damage Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/34/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/34/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/34/pdfs/ukpga_19410034_en.pdf,UK Public General Acts,General,True,True,True
1941,33,Local Government (Financial Provisions) Act 1941,https://www.legislation.gov.uk/ukpga/Geo6/4-5/33/contents/enacted,https://www.legislation.gov.uk/ukpga/Geo6/4-5/33/contents?view=plain,https://www.legislation.gov.uk/ukpga/Geo6/4-5/33/pdfs/ukpga_19410033_en.pdf,UK Public General Acts,General,True,True,True
